Product,Length,Width,Height,URL,Image
BK-1HDV,16,10,7.25,https://www.nefal.tv/de/porta-brace-bk-1hdv/,https://static.wixstatic.com/media/198a64_a8ea0b60eaf646a5b253c26369ccb510~mv2.jpg
CAR-1,13,8,10,https://www.nefal.tv/en/porta-brace-car-1-cargo-case-blue/,https://static.wixstatic.com/media/198a64_e155744042a043e5bb03525a50331389~mv2.gif
CAR-2,18,8,10,https://www.nefal.tv/en/porta-brace-car-2/,https://static.wixstatic.com/media/198a64_e155744042a043e5bb03525a50331389~mv2.gif
CAR-2B,18,8,10,https://www.nefal.tv/de/porta-brace-car-2b-cargo-case-black/,https://static.wixstatic.com/media/198a64_597e076be8d14275a368d5234685294c~mv2.jpg
CAR-2CAM,17,7.5,9,https://www.nefal.tv/de/porta-brace-car-2cam/,https://static.wixstatic.com/media/198a64_963644e06342471cb3c071e94649b59a~mv2.jpg
CAR-2CAMC,17,6.5,9.5,https://www.nefal.tv/en/porta-brace-car-2camc/,https://static.wixstatic.com/media/198a64_ef5a28e5238b4466ac8cf1959b640c28~mv2.gif
CAR-2CAMR,17,7.5,9,https://www.nefal.tv/en/porta-brace-car-2camr/,https://static.wixstatic.com/media/b7e951_6b913682e64c4bb4b22cf302c181e2d9~mv2.jpg
CAR-2CAMS,17,6.5,9.5,https://www.nefal.tv/en/porta-brace-car-2cams/,https://static.wixstatic.com/media/198a64_b50c3df8c31148328b11b70964752b65~mv2.png
CAR-3,21,8,10,https://www.nefal.tv/en/porta-brace-car-3-cargo-case/,https://static.wixstatic.com/media/198a64_ebb8139ba305439b9f05a1a654b21bdc~mv2.png
CAR-3B,21,8,10,https://www.nefal.tv/de/porta-brace-car-3b-cargo-case-black/,https://static.wixstatic.com/media/198a64_f9c7c79090ac488093734564ce3fb15d~mv2.jpg
CAR-3CAM,21.8,9,9,https://www.nefal.tv/de/porta-brace-car-3cam/,https://static.wixstatic.com/media/b7e951_f63ebc9711ce464aac1600a0ec46cafe~mv2.jpg
CAR-3CAMOR,22,9.5,11,https://www.nefal.tv/de/detail/018a1c7e4d057afabcc79a78fa61fa6d,https://static.wixstatic.com/media/b7e951_6f5d35b59efb4983886ea825857b9605~mv2.jpg
CAR-3CAMS,21.75,9,9,https://www.nefal.tv/en/porta-brace-car-3cams/,https://static.wixstatic.com/media/198a64_b32d5a95fa704ee3a6bd967fc9fa5510~mv2.jpg
CAR-3CAMT,22,9.5,11,https://www.nefal.tv/de/porta-brace-car-3camt/,https://static.wixstatic.com/media/b7e951_98ad1012652d49c9adac1487d729258c~mv2.jpg
CAR-4CAM,22,9.5,11,https://www.nefal.tv/de/porta-brace-car-4cam/,https://static.wixstatic.com/media/198a64_e2e2d0b428c44733b12e8f0be36a5d44~mv2.jpg
CAR-4CAMOR,22,9.5,11,https://www.nefal.tv/de/porta-brace-car-4camor/,https://static.wixstatic.com/media/b7e951_83545d67805e4580b0e929125cf24885~mv2.jpg
CC-22-PWB,25,10,10.5,https://www.nefal.tv/en/porta-brace-cc-22-pwb/,https://static.wixstatic.com/media/198a64_c3bd41f842f4414a846bfe112a5b8e26~mv2.jpg
CC-3ENGOR,22,9.5,11,https://www.nefal.tv/de/porta-brace-cc-3engor/,https://static.wixstatic.com/media/198a64_ded394fb252445d99a9f0bf9fd67c06f~mv2.jpg
CC-HD1,21,8,10,https://www.nefal.tv/de/porta-brace-cc-hd1-quick-draw-camera-case/,https://static.wixstatic.com/media/198a64_ac301fee48bd4dc0960139ce0723a6b8~mv2.jpg
CO-AB-M+,28.5,14,14,https://www.nefal.tv/en/porta-brace-co-ab-m/,https://static.wixstatic.com/media/198a64_12c7e50f57a443f18d9b18b1defc9fc8~mv2.png
CO-AB-MB+,31,15,8,https://www.nefal.tv/en/porta-brace-co-ab-mb/,https://static.wixstatic.com/media/198a64_9d79f116c4c042608a57efbac9052776~mv2.jpg
CO-OA-MB+,31,15,8,https://www.nefal.tv/en/porta-brace-co-oa-mb/,https://static.wixstatic.com/media/198a64_9d79f116c4c042608a57efbac9052776~mv2.jpg
CO-OB+,26,6,13,https://www.nefal.tv/en/porta-brace-co-ob/,https://static.wixstatic.com/media/198a64_f3fa8a4191634e58bb8df6ab2db2abed~mv2.png
CO-PC+,23,6,11.5,https://www.nefal.tv/en/porta-brace-co-pc-carrying-case-with-viewfinder-guard/,https://static.wixstatic.com/media/198a64_f3fa8a4191634e58bb8df6ab2db2abed~mv2.png
CO-PCB+,27,14,8,https://www.nefal.tv/en/porta-brace-co-pcb/,https://static.wixstatic.com/media/198a64_9d79f116c4c042608a57efbac9052776~mv2.jpg
CS-DV1R,12,7.5,7,https://www.nefal.tv/de/porta-brace-cs-dv1r/,https://static.wixstatic.com/media/b7e951_0d8e690528b84fe1a45a091697efeca0~mv2.jpg
CS-DV3R,18,7,8.5,https://www.nefal.tv/de/detail/f09c8af6bd694652826199ee6ad78c0b,https://static.wixstatic.com/media/b7e951_18328c9d64f0418ea51af6b134119afb~mv2.png
CS-DV3U,18,7,8.5,https://www.nefal.tv/de/porta-brace-cs-dv3u/,https://static.wixstatic.com/media/198a64_0889ba372d9c4b6da736281bf5fb505d~mv2.png
CS-DV4R,21.5,8,10,https://www.nefal.tv/de/detail/926787615d0843baafcae8d9eac3dfe1,https://static.wixstatic.com/media/6f4f76_20610097f2704d7eb5dae0a0d5e09b62~mv2.png
CS-DV4U,21.5,8,10,https://www.nefal.tv/de/porta-brace-cs-dv4u/,https://static.wixstatic.com/media/198a64_b5866a8710174e44b35fbe343c446c77~mv2.png
CTC-3,22,6.5,10.5,https://www.nefal.tv/de/porta-brace-ctc-3/,https://static.wixstatic.com/media/198a64_e7fb1ce9f02441eba2b10aaae45c69f2~mv2.png
CTC-3B,22,6.5,10,https://www.nefal.tv/de/detail/9faf887b5aff4ecb8b2459c967986368,https://static.wixstatic.com/media/198a64_1ef44acf9a0346868937af974f7ccaf5~mv2.jpg
CTC-4B,25,6.5,10.8,https://www.nefal.tv/de/porta-brace-ctc-4b-kameratasche-traveller-schwarz/,https://static.wixstatic.com/media/b7e951_1878231ee3c5421498fd891c0526a12b~mv2.jpg
DC-3V,11.5,5,13,https://www.nefal.tv/en/porta-brace-dc-3v-dc-director-s-case/,https://static.wixstatic.com/media/198a64_d6ec5d3d81bb48aaad29d3f4c10a1662~mv2.png
DC-3VB,17,5,13,https://www.nefal.tv/en/porta-brace-dc-3v-dc-director-s-case/,https://static.wixstatic.com/media/198a64_a279054dcec547baa9737d30a9275340~mv2.png
DVO-1R,17,8.5,7,https://www.nefal.tv/de/porta-brace-dvo-1r-dvo-1u-dv-organizer-dvo-1r-rot/,https://static.wixstatic.com/media/b7e951_47f554f12b64482da51c29e0543a1883~mv2.jpg
DVO-2R,18,9,10,https://www.nefal.tv/de/porta-brace-dvo-2r/,https://static.wixstatic.com/media/b7e951_78c5032ac1004be8863b1068ad086460~mv2.jpg
DVO-2U,18,9,10,https://www.nefal.tv/en/porta-brace-dvo-2u/,https://static.wixstatic.com/media/b7e951_2cc73b783997418bb005f1cfbe685ff6~mv2.png
DVO-3R,18.5,12,9.5,https://www.nefal.tv/de/porta-brace-dvo-3r/,https://static.wixstatic.com/media/b7e951_54d9db8d62654537a094ae9b463ccdb8~mv2.jpg
GRIP-1B,18.7,7,9.5,https://www.nefal.tv/de/porta-brace-grip-1b/,https://static.wixstatic.com/media/198a64_3f5866ca757f4d4281abb5aca3580be5~mv2.jpg
GRIP-2B,20,13,11.5,https://www.nefal.tv/de/porta-brace-grip-2b/,https://static.wixstatic.com/media/198a64_268a665255fc4319a1f829d1641a03e0~mv2.png
GRIP-3BOR,29.5,13,11.5,https://www.nefal.tv/de/porta-brace-grip-3bor/,https://static.wixstatic.com/media/b7e951_58740f98c31146a09995680f775a92e1~mv2.jpg
HIP-3LENS,11,3.5,6,https://www.nefal.tv/en/porta-brace-hip-3lens/,https://static.wixstatic.com/media/198a64_d75574aecf914d1ab329ff9c4f0f4ffd~mv2.jpg
LB-1B,13,7,7,https://www.nefal.tv/de/porta-brace-lb-1b-lens-bag-carrying-case-black/,https://static.wixstatic.com/media/198a64_9195d534e2c1412ba660b759a862d5f4~mv2.jpg
MB-LIGHT,12,6.5,7.5,https://www.nefal.tv/en/porta-brace-mb-light/,https://static.wixstatic.com/media/198a64_6a7e5b9415f044cea1f874128b864ae4~mv2.jpg
MS-DSLR2,12,7,4.5,https://www.nefal.tv/en/porta-brace-ms-dslr2-messenger-style-camera-bag/,https://static.wixstatic.com/media/198a64_5f7c731ababd415faa599d3ade66949d~mv2.gif
PB-2300FP,12,9.1,5.4,https://www.nefal.tv/en/porta-brace-pb-2300f-hard-case/,https://static.wixstatic.com/media/198a64_e5af4de2fb2f4bf4bb28278efb7865c1~mv2.jpg
PB-2700FP,21.5,17.75,7,https://www.nefal.tv/en/porta-brace-pb-2700f-superlite-vault-hard-case-w-foam/,https://static.wixstatic.com/media/198a64_c98cf25f088c4a479fa1e37e1b5dc6de~mv2.jpg
PB-4100FP,15.8,9.1,9.1,https://www.nefal.tv/en/porta-brace-pb-4100f-hard-case/,https://static.wixstatic.com/media/b7e951_91eade410a154abd88b23a9dfc6a4b4f~mv2.jpg
RB-1,18,7,9.5,https://www.nefal.tv/en/porta-brace-rb-1/,https://static.wixstatic.com/media/198a64_c885c19f06584c97b0aca6071f08e94a~mv2.png
RB-1B,18,7,9.5,https://www.nefal.tv/de/porta-brace-rb-1b/,https://static.wixstatic.com/media/198a64_cfd5e4f175a0491bb23f08215d1b147c~mv2.jpg
RB-2,18,7,9.5,https://www.nefal.tv/en/porta-brace-rb-2/,https://static.wixstatic.com/media/198a64_06a5fdee3ad34ea8989560b3b2375e58~mv2.png
RB-2B,21,7,9.5,https://www.nefal.tv/de/porta-brace-rb-2b/,https://static.wixstatic.com/media/198a64_4aebc05b46fe4d468650acd67a9e3e60~mv2.png
RB-3,25,7,9.5,https://www.nefal.tv/en/porta-brace-rb-3/,https://static.wixstatic.com/media/198a64_3d15c534434f4200bcb3e110919890f5~mv2.png
RB-3B,25,7,9.5,https://www.nefal.tv/de/porta-brace-rb-3b/,https://static.wixstatic.com/media/198a64_efd8b375756d4dc2b0116ba8d64377e9~mv2.png
RB-4,29,7.5,9.5,https://www.nefal.tv/en/porta-brace-rb-4-run-bag-lightweight-xl-br-4-blue/,https://static.wixstatic.com/media/198a64_3d15c534434f4200bcb3e110919890f5~mv2.png
RB-4B,29,7.5,9.5,https://www.nefal.tv/en/porta-brace-rb-4-run-bag-lightweight-xl-br-4-blue/,https://static.wixstatic.com/media/198a64_1c980e7f29b045afab44db97ed86fcb0~mv2.png
TLQ-35,35,9,7,https://www.nefal.tv/en/porta-brace-tlqb-35-quick-tripod-light-case-black/,https://static.wixstatic.com/media/198a64_b2afd80e53d64b55b02356590576545b~mv2.jpg
TLQ-39XT,39,8,9,https://www.nefal.tv/en/porta-brace-tlqb-39xt/,https://static.wixstatic.com/media/198a64_b2afd80e53d64b55b02356590576545b~mv2.jpg
TLQ-41XT,41,8,9,https://www.nefal.tv/en/porta-brace-tlqb-41xt/,https://static.wixstatic.com/media/198a64_b2afd80e53d64b55b02356590576545b~mv2.jpg
TLQB-35,35,9,7,https://www.nefal.tv/de/porta-brace-tlqb-35-quick-tripod-light-case-black/,https://static.wixstatic.com/media/198a64_76e801f2361e487bb93718b47906a114~mv2.jpg
TLQB-39XT,39,9,8,https://www.nefal.tv/de/porta-brace-tlqb-39xt/,https://static.wixstatic.com/media/198a64_76e801f2361e487bb93718b47906a114~mv2.jpg
TLQB-41XT,41,9,8,https://www.nefal.tv/de/porta-brace-tlqb-41xt/,https://static.wixstatic.com/media/198a64_9fe34337ae6f4cac95f4fde3a1f26cb1~mv2.jpg
TLQB-46,46,9,7,https://www.nefal.tv/de/porta-brace-tlqb-46-quick-tripod-light-case-black-46/,https://static.wixstatic.com/media/198a64_9fe34337ae6f4cac95f4fde3a1f26cb1~mv2.jpg
TLQB-46XTOR,46,10,,https://www.nefal.tv/de/porta-brace-tlqb-46xtor/,https://static.wixstatic.com/media/198a64_781efba130374964bc7e5aafde246f76~mv2.jpg
WPC-1OR,20.5,10.5,7,https://www.nefal.tv/de/porta-brace-wpc-1or/,https://static.wixstatic.com/media/198a64_e57c8bca65c54315a73d6165214989d1~mv2.jpg
WPC-1ORB,20.5,10.5,7,https://www.nefal.tv/de/porta-brace-wpc-1orb/,https://static.wixstatic.com/media/198a64_ca9c9df0365e485abe11eb4f238cac7e~mv2.jpg
WPC-2OR,24,12,10,https://www.nefal.tv/de/porta-brace-wpc-2or-wheeled-production-case-blue/,https://static.wixstatic.com/media/198a64_37f3245e76264fd3b7e8062e39a98b0a~mv2.png
WPC-2ORB,24,12,10,https://www.nefal.tv/de/porta-brace-wpc-2orb-wheeled-production-case-black/,https://static.wixstatic.com/media/198a64_2318c3ddd4e84408b9f3ac851dbbc9d5~mv2.png
WPC-3OR,38,12,11.5,https://www.nefal.tv/de/porta-brace-wpc-3or-large-wheeled-production-case/,https://static.wixstatic.com/media/198a64_e059ad87929044e98bc718412e989237~mv2.png
WPC-3ORB,38,12,11.5,https://www.nefal.tv/de/porta-brace-wpc-3or-large-wheeled-production-case/,https://static.wixstatic.com/media/198a64_2bee021c74b9417f8a9b3a2fb2438076~mv2.jpg
WRB-3OR,39,12,12,https://www.nefal.tv/de/porta-brace-wrb-3or/,https://static.wixstatic.com/media/198a64_be598c900136492ebf4032b243b0276b~mv2.jpg
WRB-3ORB,39,12,12,https://www.nefal.tv/de/porta-brace-wrb-3orb-kameratasche-mit-rollen/,https://static.wixstatic.com/media/198a64_e4c1ba044ca24c3a820584487e5d9a65~mv2.png
